Num,Keywords,Which_Website,Which_Search_Engine,Weights_for_currentSearchEngine,Ranking,Grades_Converted_for_Ranking,Weights_of_the_Keywords,Link_to_Screendump,Orignial_URL,Reporting_date
32,Data scientist website,http://www.kdnuggets.com,Bing,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauczNjZ0RTQU5SQlk,NotKnown,9/29/2016
33,Data scientist website,https://www.datacamp.com/,Bing,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauczNjZ0RTQU5SQlk,NotKnown,9/29/2016
34,Data scientist website,http://stats.stackexchange.com/,Bing,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauczNjZ0RTQU5SQlk,NotKnown,9/29/2016
35,Data scientist website,http://www.datasciencecentral.com/,Bing,5,1,100,50,https://drive.google.com/open?id=0B5lUye8ERPauczNjZ0RTQU5SQlk,NotKnown,9/29/2016
36,Dat science website,https://www.kaggle.com,Bing,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPaudGVEYXZFbm1ac3c,NotKnown,9/29/2016
37,Dat science website,http://www.kdnuggets.com,Bing,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPaudGVEYXZFbm1ac3c,NotKnown,9/29/2016
38,Dat science website,https://www.datacamp.com/,Bing,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPaudGVEYXZFbm1ac3c,NotKnown,9/29/2016
39,Dat science website,http://stats.stackexchange.com/,Bing,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPaudGVEYXZFbm1ac3c,NotKnown,9/29/2016
40,Dat science website,http://www.datasciencecentral.com/,Bing,5,1,100,50,https://drive.google.com/open?id=0B5lUye8ERPaudGVEYXZFbm1ac3c,NotKnown,9/29/2016
41,machine learning website,https://www.kaggle.com,Bing,5,0,50,20,https://drive.google.com/open?id=0B5lUye8ERPauaXAwUVhTRVFCd2s,NotKnown,9/29/2016
42,machine learning website,http://www.kdnuggets.com,Bing,5,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPauaXAwUVhTRVFCd2s,NotKnown,9/29/2016
43,machine learning website,https://www.datacamp.com/,Bing,5,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPauaXAwUVhTRVFCd2s,NotKnown,9/29/2016
44,machine learning website,http://stats.stackexchange.com/,Bing,5,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPauaXAwUVhTRVFCd2s,NotKnown,9/29/2016
45,machine learning website,http://www.datasciencecentral.com/,Bing,5,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPauaXAwUVhTRVFCd2s,NotKnown,9/29/2016
46,data mining website,https://www.kaggle.com,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauSmFCblVtZ2tMQUE,NotKnown,9/29/2016
47,data mining website,http://www.kdnuggets.com,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauSmFCblVtZ2tMQUE,NotKnown,9/29/2016
48,data mining website,https://www.datacamp.com/,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauSmFCblVtZ2tMQUE,NotKnown,9/29/2016
49,data mining website,http://stats.stackexchange.com/,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauSmFCblVtZ2tMQUE,NotKnown,9/29/2016
50,data mining website,http://www.datasciencecentral.com/,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauSmFCblVtZ2tMQUE,NotKnown,9/29/2016
51,deep learning website,https://www.kaggle.com,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauWG5SX0RYR2FaaHc,NotKnown,9/29/2016
52,deep learning website,http://www.kdnuggets.com,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauWG5SX0RYR2FaaHc,NotKnown,9/29/2016
53,deep learning website,https://www.datacamp.com/,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauWG5SX0RYR2FaaHc,NotKnown,9/29/2016
54,deep learning website,http://stats.stackexchange.com/,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauWG5SX0RYR2FaaHc,NotKnown,9/29/2016
55,deep learning website,http://www.datasciencecentral.com/,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauWG5SX0RYR2FaaHc,NotKnown,9/29/2016
56,big data website,https://www.kaggle.com,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauVU5XMWZsdUFVcGM,NotKnown,9/29/2016
57,big data website,http://www.kdnuggets.com,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauVU5XMWZsdUFVcGM,NotKnown,9/29/2016
58,big data website,https://www.datacamp.com/,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauVU5XMWZsdUFVcGM,NotKnown,9/29/2016
59,big data website,http://stats.stackexchange.com/,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauVU5XMWZsdUFVcGM,NotKnown,9/29/2016
60,big data website,http://www.datasciencecentral.com/,Bing,5,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauVU5XMWZsdUFVcGM,NotKnown,9/29/2016
61,Data scientist website,https://www.kaggle.com,Yahoo,5,7,30,50,https://drive.google.com/open?id=0B5lUye8ERPauRTBLMlMyRmZrd28,NotKnown,9/29/2016
62,Data scientist website,http://www.kdnuggets.com,Yahoo,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauRTBLMlMyRmZrd28,NotKnown,9/29/2016
63,Data scientist website,https://www.datacamp.com/,Yahoo,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauRTBLMlMyRmZrd28,NotKnown,9/29/2016
64,Data scientist website,http://stats.stackexchange.com/,Yahoo,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauRTBLMlMyRmZrd28,NotKnown,9/29/2016
65,Data scientist website,http://www.datasciencecentral.com/,Yahoo,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauRTBLMlMyRmZrd28,NotKnown,9/29/2016
66,Dat science website,https://www.kaggle.com,Yahoo,5,12,2,50,https://drive.google.com/open?id=0B5lUye8ERPauVUh2TGMxRnlqcU0,NotKnown,9/29/2016
67,Dat science website,http://www.kdnuggets.com,Yahoo,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauVUh2TGMxRnlqcU0,NotKnown,9/29/2016
68,Dat science website,https://www.datacamp.com/,Yahoo,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauVUh2TGMxRnlqcU0,NotKnown,9/29/2016
69,Dat science website,http://stats.stackexchange.com/,Yahoo,5,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPauVUh2TGMxRnlqcU0,NotKnown,9/29/2016
